23104,10_19_23_25_30_31,12
23105,1_3_5_26_30_32,16
23106,7_9_10_20_22_24,7
23107,3_7_18_25_29_33,14
23108,1_3_6_8_18_24,9
23109,6_8_10_13_16_28,13
23110,2_6_20_25_29_33,16
23111,5_6_12_17_20_33,9
23112,9_12_13_22_24_31,4
23113,1_2_13_18_25_27,3
23114,7_9_15_16_17_26,9
23115,2_7_16_21_26_27,16
23116,2_8_9_13_24_27,12
23117,2_11_14_17_18_28,8
23118,1_2_11_19_25_29,4
23119,1_2_3_19_21_28,15
23120,3_8_13_24_27_29,8
23121,2_12_16_25_30_31,12
23122,7_8_14_18_20_30,5
23123,10_13_15_22_29_32,15
23124,2_3_17_18_25_30,11
23125,11_14_15_27_30_33,4
23126,10_24_26_28_29_31,16
23127,3_8_19_22_26_32,14
23128,7_16_20_21_27_33,1
23129,8_9_12_17_32_33,4
23130,4_10_17_22_23_32,16
23131,6_7_14_20_26_32,1
23132,3_9_11_15_25_27,1
23133,4_5_10_14_22_25,3
23104,10_19_23_25_30_31,12
23105,1_3_5_26_30_32,16
23106,7_9_10_20_22_24,7
23107,3_7_18_25_29_33,14
23108,1_3_6_8_18_24,9
23109,6_8_10_13_16_28,13
23110,2_6_20_25_29_33,16
23111,5_6_12_17_20_33,9
23112,9_12_13_22_24_31,4
23113,1_2_13_18_25_27,3
23114,7_9_15_16_17_26,9
23115,2_7_16_21_26_27,16
23116,2_8_9_13_24_27,12
23117,2_11_14_17_18_28,8
23118,1_2_11_19_25_29,4
23119,1_2_3_19_21_28,15
23120,3_8_13_24_27_29,8
23121,2_12_16_25_30_31,12
23122,7_8_14_18_20_30,5
23123,10_13_15_22_29_32,15
23124,2_3_17_18_25_30,11
23125,11_14_15_27_30_33,4
23126,10_24_26_28_29_31,16
23127,3_8_19_22_26_32,14
23128,7_16_20_21_27_33,1
23129,8_9_12_17_32_33,4
23130,4_10_17_22_23_32,16
23131,6_7_14_20_26_32,1
23132,3_9_11_15_25_27,1
23133,4_5_10_14_22_25,3
23104,10_19_23_25_30_31,12
23105,1_3_5_26_30_32,16
23106,7_9_10_20_22_24,7
23107,3_7_18_25_29_33,14
23108,1_3_6_8_18_24,9
23109,6_8_10_13_16_28,13
23110,2_6_20_25_29_33,16
23111,5_6_12_17_20_33,9
23112,9_12_13_22_24_31,4
23113,1_2_13_18_25_27,3
23114,7_9_15_16_17_26,9
23115,2_7_16_21_26_27,16
23116,2_8_9_13_24_27,12
23117,2_11_14_17_18_28,8
23118,1_2_11_19_25_29,4
23119,1_2_3_19_21_28,15
23120,3_8_13_24_27_29,8
23121,2_12_16_25_30_31,12
23122,7_8_14_18_20_30,5
23123,10_13_15_22_29_32,15
23124,2_3_17_18_25_30,11
23125,11_14_15_27_30_33,4
23126,10_24_26_28_29_31,16
23127,3_8_19_22_26_32,14
23128,7_16_20_21_27_33,1
23129,8_9_12_17_32_33,4
23130,4_10_17_22_23_32,16
23131,6_7_14_20_26_32,1
23132,3_9_11_15_25_27,1
23133,4_5_10_14_22_25,3
23104,10_19_23_25_30_31,12
23105,1_3_5_26_30_32,16
23106,7_9_10_20_22_24,7
23107,3_7_18_25_29_33,14
23108,1_3_6_8_18_24,9
23109,6_8_10_13_16_28,13
23110,2_6_20_25_29_33,16
23111,5_6_12_17_20_33,9
23112,9_12_13_22_24_31,4
23113,1_2_13_18_25_27,3
23114,7_9_15_16_17_26,9
23115,2_7_16_21_26_27,16
23116,2_8_9_13_24_27,12
23117,2_11_14_17_18_28,8
23118,1_2_11_19_25_29,4
23119,1_2_3_19_21_28,15
23120,3_8_13_24_27_29,8
23121,2_12_16_25_30_31,12
23122,7_8_14_18_20_30,5
23123,10_13_15_22_29_32,15
23124,2_3_17_18_25_30,11
23125,11_14_15_27_30_33,4
23126,10_24_26_28_29_31,16
23127,3_8_19_22_26_32,14
23128,7_16_20_21_27_33,1
23129,8_9_12_17_32_33,4
23130,4_10_17_22_23_32,16
23131,6_7_14_20_26_32,1
23132,3_9_11_15_25_27,1
23133,4_5_10_14_22_25,3
23104,10_19_23_25_30_31,12
23105,1_3_5_26_30_32,16
23106,7_9_10_20_22_24,7
23107,3_7_18_25_29_33,14
23108,1_3_6_8_18_24,9
23109,6_8_10_13_16_28,13
23110,2_6_20_25_29_33,16
23111,5_6_12_17_20_33,9
23112,9_12_13_22_24_31,4
23113,1_2_13_18_25_27,3
23114,7_9_15_16_17_26,9
23115,2_7_16_21_26_27,16
23116,2_8_9_13_24_27,12
23117,2_11_14_17_18_28,8
23118,1_2_11_19_25_29,4
23119,1_2_3_19_21_28,15
23120,3_8_13_24_27_29,8
23121,2_12_16_25_30_31,12
23122,7_8_14_18_20_30,5
23123,10_13_15_22_29_32,15
23124,2_3_17_18_25_30,11
23125,11_14_15_27_30_33,4
23126,10_24_26_28_29_31,16
23127,3_8_19_22_26_32,14
23128,7_16_20_21_27_33,1
23129,8_9_12_17_32_33,4
23130,4_10_17_22_23_32,16
23131,6_7_14_20_26_32,1
23132,3_9_11_15_25_27,1
23133,4_5_10_14_22_25,3
23104,10_19_23_25_30_31,12
23105,1_3_5_26_30_32,16
23106,7_9_10_20_22_24,7
23107,3_7_18_25_29_33,14
23108,1_3_6_8_18_24,9
23109,6_8_10_13_16_28,13
23110,2_6_20_25_29_33,16
